Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
118,135,131,118,132,-0.04245513,0.11743884,-0.06352998,-0.99780702,1.10668045,4.72702105,0
118,135,131,118,132,0.01939497,0.09957103,-0.09560041,-1.00737831,1.19162565,4.71864617,0
118,135,132,118,132,0.08674286,0.14523321,-0.07437284,-0.8470592,1.35912324,4.6061835,0
118,135,131,118,132,-0.08399397,0.13622295,-0.08750645,-0.94636134,1.06480606,4.71864617,0
118,135,131,118,132,-0.01282817,0.22067507,-0.03817908,-1.03011013,1.09950198,4.71625334,0
118,135,131,118,132,-0.00717767,0.11148291,-0.00992656,-0.99780702,1.09112711,4.71864617,0
118,135,131,118,131,0.04367686,0.06734789,-0.01786781,-0.83270226,1.14855485,4.63011173,0
118,135,131,118,131,-0.00412334,0.05971208,-0.03252857,-0.87577307,1.13060868,4.6157548,0
118,134,131,118,131,-0.05222898,0.10965031,-0.10705413,-1.1222338,1.04087783,4.73061028,0
118,135,131,118,131,-0.06902777,0.10155635,-0.17715092,-1.28614215,1.08514505,4.76291339,0
118,135,131,118,131,-0.08414669,-0.0009163,-0.14126259,-1.10428763,1.06600247,4.72821746,0
118,135,131,118,131,-0.00458149,-0.00931569,-0.07528914,-1.08873428,1.11625174,4.72702105,0
118,135,131,118,131,0.05390886,0.02443461,-0.0852157,-1.24187493,1.23948211,4.77128826,0
118,135,131,118,131,-0.01985312,-0.06918049,-0.07559457,-1.14975126,1.23350005,4.66720048,0
118,135,131,118,131,-0.03344487,-0.01786781,-0.0364992,-1.16410819,1.16410819,4.70907488,0
118,135,131,118,131,0.03252857,-0.04092797,0.00122173,-1.10189481,1.25623186,4.64087943,0
118,135,132,118,131,0.03909538,0.00259618,0.01069014,-0.99182497,1.20837541,4.66361125,0
118,135,131,118,131,0.03436117,0.02611449,0.0514654,-1.07198452,1.1006984,4.75812774,0
118,135,132,118,131,0.06887506,-0.0056505,0.02550362,-1.16650102,1.26101751,4.66241484,0
118,135,132,118,131,-0.0065668,-0.11056661,0.03711006,-0.97746803,1.20957182,4.53080959,0
118,135,132,118,131,0.04673119,-0.04734206,0.10644327,-0.83988073,1.10668045,4.51166701,0
118,135,131,118,131,0.07742717,0.12018774,0.02916882,-1.00857473,1.20598259,4.6480579,0
118,135,132,119,131,-0.06841691,0.03756821,-0.05726862,-1.12103739,1.19521489,4.71744976,0
118,135,131,119,131,-0.00794125,0.01572978,-0.00595594,-1.00857473,1.10428763,4.69711076,0
118,135,132,119,131,0.09285152,0.10002918,0.02672535,-0.9846465,1.19042924,4.68275383,0
118,135,132,119,131,0.00794125,0.0936151,-0.04031711,-1.10428763,1.22153594,4.7114677,0
118,135,132,118,131,-0.07162395,-0.0364992,-0.05482516,-1.09232352,1.06839529,4.72343181,0
118,135,132,119,131,0.08017606,0.00229074,0.00794125,-1.04925271,1.16769743,4.66480766,0
118,135,132,119,131,0.10613784,0.0290161,-0.03970624,-1.03489577,1.29690985,4.59421939,0
118,135,132,119,131,-0.00259618,0.01542435,-0.07819075,-0.96071827,1.26580316,4.61216556,0
118,135,132,119,131,0.00259618,0.02260201,-0.02076942,-0.95593263,1.13060868,4.65284355,0
118,135,132,118,131,0.08414669,0.06215554,0.0158825,-1.13060868,1.18684001,4.69711076,0
118,135,132,119,131,0.04566218,0.01771509,-0.02779437,-1.13778715,1.2598211,4.64566508,0
118,135,132,119,131,-0.06811147,-0.01099557,-0.0364992,-1.00019985,1.05643118,4.69950359,0
118,135,131,119,131,0.06887506,0.07315111,-0.02092213,-1.06600247,1.16171537,4.74855645,0
118,135,132,119,131,0.01175916,-0.01389718,-0.05482516,-1.13898356,1.31485602,4.66480766,0
118,135,131,119,131,-0.06307184,-0.06444628,-0.07162395,-1.01096755,1.19880412,4.65284355,0
118,135,132,119,131,0.03726278,0.03039055,-0.04062254,-1.10428763,1.30767755,4.62173685,0
118,135,132,119,131,0.0412334,0.01191187,-0.02703079,-1.10189481,1.47038949,4.54277371,0
118,135,132,119,131,-0.06673703,-0.05955936,0.00855211,-0.89132642,1.20957182,4.44227516,0
