Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
118,130,125,120,131,-0.05772677,-0.05390886,-0.01954769,-0.40438702,2.62971204,4.15274362,1
118,130,124,120,131,0.23365595,0.02504547,0.13240504,-0.38045879,2.85104813,3.8967116,1
119,131,124,120,131,0.0374155,0.09025534,0.02076942,-0.55872408,3.02333136,3.82612334,1
119,130,124,120,131,-0.10399981,0.08735373,0.06475172,-0.44745783,2.53758837,4.41116846,1
119,130,124,120,130,0.08231409,-0.02916882,-0.03588833,-0.40079779,2.75653164,3.94097882,1
118,130,124,120,130,0.12095132,0.01389718,-0.021533,-0.58743795,3.08434833,3.92063983,1
119,131,124,120,130,0.01023199,0.00152716,0.05787948,-0.41515472,2.7948168,4.02472761,1
119,131,125,120,131,-0.13805554,0.03268129,-0.00412334,-0.37447674,2.83549478,4.10608358,1
118,131,125,120,131,-0.11026118,0.07345654,0.01786781,-0.43788654,2.59023046,4.08813741,1
119,130,124,120,130,0.05314528,0.04627304,0.07360926,-0.35892339,2.69312184,4.23768882,1
118,131,125,120,131,0.08994991,0.01099557,0.0355829,-0.37328033,3.028117,3.83808745,1
118,131,126,120,131,-0.05177083,0.11041389,-0.2293799,-0.13399807,3.34755882,3.79262382,1
118,131,126,120,131,-0.23777929,0.3136793,0.00824668,0.56470613,3.23509616,4.66839689,1
118,131,127,120,131,-0.25717427,1.04671759,-0.52335879,-0.75373912,2.61176587,3.4193435,1
118,131,127,120,132,-0.75900006,0.83566365,-0.25900686,-1.96091812,2.30907381,4.48414955,1
118,131,127,120,132,-0.30848695,0.15714508,-0.21288654,-0.89132642,2.38325131,4.24726011,1
118,131,126,120,132,0.26664268,-0.16630806,0.35995234,-1.08514505,2.65124744,3.84646233,1
118,131,126,120,132,0.26511551,-0.68310005,0.22571471,-0.22372891,2.59501611,4.11326205,1
118,131,126,120,132,0.13683381,0.07483099,0.05940664,-0.37447674,2.9862426,4.21734983,1
118,130,126,120,132,0.08750645,0.04291328,0.08063421,-0.45702912,2.67996131,3.74357096,1
118,130,126,120,131,-0.08078693,-0.06307184,0.08368854,-0.59222359,2.57706994,4.50089931,1
118,130,125,120,130,0.01114829,-0.04062254,-0.11575896,-0.53359944,3.00777801,3.89072955,1
118,127,121,120,126,0.08552113,-0.30680707,0.14584408,-0.90687977,2.26480659,4.64087943,1
118,125,117,118,120,0.57833666,-0.37552941,0.15974126,-2.08773772,2.40598312,5.68056085,1
117,126,116,114,114,1.14079083,-1.36818542,0.2939789,-1.15334049,3.493521,5.34197645,1
