Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
122,136,131,120,130,-0.04810564,0.09193522,-0.00901026,-0.33619158,2.24207478,4.4255254,0
122,136,131,120,130,-0.01023199,0.05589417,-0.0224493,-0.34695928,2.19302191,4.33818737,0
122,136,131,120,130,0.04932737,0.03573562,-0.07819075,-0.38285162,2.21096808,4.40757923,0
122,136,131,120,130,0.04138612,0.03527747,-0.05329799,-0.37567315,2.25882453,4.41834693,0
122,136,131,120,130,0.00824668,0.07177667,0.00916298,-0.43070807,2.33300204,4.23170677,0
122,136,131,120,130,-0.0768163,0.15225816,0.05085453,-0.45224347,2.3294128,4.24965294,0
122,136,131,120,130,-0.13866641,0.1366811,0.15714508,-0.41036908,2.19302191,4.46859621,0
122,136,131,120,130,-0.03909538,0.24755314,0.11942415,-0.45104706,2.14037982,4.31545556,0
122,136,131,120,130,0.00076358,0.22739458,0.07635815,-0.37447674,2.29352046,4.37647254,0
122,136,131,120,130,-0.13301591,0.17302758,0.06658431,-0.46181476,2.20737885,4.52841677,0
122,136,131,120,130,-0.08414669,0.11285735,0.06582073,-0.43070807,2.02552433,4.43509669,0
122,136,131,120,130,0.02015855,0.13988814,0.0,-0.50608198,2.28514558,4.42672181,0
122,136,130,120,130,-0.05329799,0.07849618,0.00167988,-0.45702912,2.20378961,4.40399,0
122,136,130,120,131,-0.01679879,0.11026118,0.02351831,-0.4977071,2.17986139,4.43868592,0
122,137,130,119,131,0.00351248,0.1273654,-0.00687223,-0.52163533,2.34137691,4.25922423,0
122,137,130,119,130,-0.12003502,0.13148874,0.04749477,-0.6029913,2.08414848,4.52363113,0
122,137,130,119,130,-0.00442877,0.10506882,-0.0158825,-0.57786666,2.01475663,4.60498709,0
122,137,130,119,131,0.21197024,0.01481348,-0.03436117,-0.48095734,2.39042978,3.99481733,0
122,137,130,119,131,0.00198531,0.06475172,-0.03543018,-0.613759,2.34496615,4.42432899,0
122,137,130,119,131,-0.05604689,-0.04917465,0.00763582,-0.54795638,1.96809659,4.75453851,0
122,137,130,120,131,0.2724459,-0.05543602,0.05650503,-0.45702912,2.35453744,4.20538572,0
122,137,130,120,131,-0.1498147,-0.06017023,0.00580322,-0.31465617,2.39162619,4.53918447,0
122,137,130,120,131,-0.02229658,-0.01893682,0.35094208,-0.62333029,1.72163586,4.74975286,0
122,137,130,120,131,0.4503604,0.08491027,-0.0197004,-0.33978081,2.77926345,4.32502685,0
122,137,130,119,131,-0.2490803,-0.02535091,0.03940081,-0.51804609,2.39042978,4.18983237,0
122,137,130,119,131,-0.21746802,-0.05070181,0.1479821,-0.77766735,2.01714945,4.75453851,0
122,137,130,120,131,0.08597928,0.10125091,0.06963864,-0.71784678,2.23848554,4.39681153,0
122,136,130,119,131,-0.03313944,-0.14080444,-0.02840523,-0.33978081,2.20378961,4.11804769,0
122,137,130,119,131,-0.03039055,0.07315111,0.13881913,-0.39601214,2.28873482,4.53798806,0
122,136,130,119,131,0.02290745,-0.01343904,0.1695151,-0.84346997,2.00279252,4.01156709,0
122,136,130,119,131,-0.04948008,0.10461067,0.13927727,-0.53599226,2.15712957,4.21495701,0
122,136,130,119,131,0.16111571,0.04046982,0.19624046,-0.47856452,2.52442784,4.21495701,0
122,136,131,119,131,0.04505131,-0.03207043,0.17959438,-0.52881379,2.39641183,4.29033092,0
122,136,130,119,131,-0.06856962,-0.0655153,0.18341229,-0.4342973,2.24686042,4.67198613,0
122,136,130,119,131,0.10995574,-0.12660182,0.1928807,-0.14476577,2.17387933,4.15154721,0
122,136,130,119,131,0.00015272,0.22770002,0.16814066,0.02871387,2.27557429,4.4362931,0
122,136,130,119,131,0.0412334,0.16218472,0.26648996,-0.5503492,2.23130707,4.53439883,0
122,136,130,119,131,0.13881913,-0.05726862,0.12538009,-0.44985065,2.14396905,4.39322229,0
122,136,128,118,131,0.26542095,-0.08323039,0.16920967,-0.24526432,2.61176587,4.32981249,0
121,135,127,117,131,0.11621711,-0.30818151,0.23579398,-0.36131621,2.33539486,4.53918447,0
121,135,126,117,131,0.05100725,-0.18066339,0.0627664,-0.39003008,2.28394917,4.35254431,0
121,134,125,117,131,0.00641409,-0.20448714,-0.02504547,-0.07896315,2.6045874,4.3513479,0
121,134,125,117,131,-0.35002578,0.02214386,-0.20265454,-0.35174492,2.27198506,4.49731008,0
121,133,125,117,131,-0.40698896,-0.01252274,-0.34819319,-0.45463629,2.37726925,4.64566508,0
121,132,125,117,131,0.70081514,0.00870483,-0.42058072,0.0107677,2.2552353,3.94456806,0
121,132,125,117,131,-0.03695735,0.13729196,-0.29642236,-0.16869399,2.35453744,4.3728833,0
121,131,125,117,131,-0.24984388,0.23289237,-0.32070425,-0.29551359,2.50648167,4.52961318,0
121,131,126,117,131,-0.56688294,0.36010506,-0.30390546,-0.24885355,2.33419845,4.4889352,0
